Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
torso,-0.00152137308202996,6.570545971788E-05,0.180819231291639,0,0,0,8.00595696358141,0.0420370417828757,-6.33819913200011E-06,0.000774581599267071,0.0246229225472557,-1.21865064780519E-06,0.0339288066064417,0,0,0,0,0,0,package://biped_s43/meshes/torso.STL,1,1,1,1,0,0,0,0,0,0,package://biped_s43/meshes/torso.STL,,torso-1,torso,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_arm_pitch,0.0142196704183039,0.015819769554607,0.00015144775718845,0,0,0,0.174747028375522,0.0002659089458971,2.59598690021371E-05,-2.3385882920164E-07,0.000126276535014792,1.71632948801919E-06,0.000192912111547749,0,0,0,0,0,0,package://biped_s43/meshes/r_arm_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://biped_s43/meshes/r_arm_pitch.STL,,r_arm_pitch-3,r_arm_pitch_roll_yaw,r_arm_pitch_axis,r_arm_pitch,revolute,-0.0175,-0.2557,0.3245,0,0,0,torso,0,-1,0,0,0,-1.047,2.094,,,,,,,,
r_arm_roll,0.0328722861407201,1.50239842788835E-09,-0.033362001559319,0,0,0,0.0275279143681991,2.18198697253185E-05,-1.05051355341662E-11,-6.54641028314625E-06,2.59041329678136E-05,6.42517523937707E-12,1.33665922930808E-05,0,0,0,0,0,0,package://biped_s43/meshes/r_arm_roll.STL,1,1,1,1,0,0,0,0,0,0,package://biped_s43/meshes/r_arm_roll.STL,,r_arm_roll-1,r_arm_pitch_roll_yaw,r_arm_roll_axis,r_arm_roll,revolute,0,0,0,0,0,0,r_arm_pitch,-1,0,0,0,0,-0.349,2.094,,,,,,,,
r_arm_yaw,0.00465923210128664,-0.00655492891218179,-0.150653535163084,0,0,0,0.173566237026,0.000103216154072243,1.58660140392805E-08,6.17337468085342E-08,0.000126811315252261,-1.35227132861966E-05,0.000101741106159027,0,0,0,0,0,0,package://biped_s43/meshes/r_arm_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://biped_s43/meshes/r_arm_yaw.STL,,r_arm_yaw-2,r_arm_pitch_roll_yaw,r_arm_yaw_axis,r_arm_yaw,revolute,0,0,0,0,0,0,r_arm_roll,0,0,-1,0,0,-1.57,1.57,,,,,,,,
r_forearm_pitch,-2.65773622166489E-07,-0.023911354122526,-0.0401580148374924,0,0,0,0.0888093844950085,8.27863367542845E-05,3.7066805249671E-11,-3.06429511692235E-10,6.87816672639171E-05,2.71271593806414E-05,6.0740552391899E-05,0,0,0,0,0,0,package://biped_s43/meshes/r_forearm_pitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://biped_s43/meshes/r_forearm_pitch.STL,,r_forearm_pitch -1,r_forearm_pitch,r_forearm_pitch_axis,r_forearm_pitch,revolute,0.0045067,0,-0.2046,0,0,0,r_arm_yaw,0,1,0,0,0,-1.57,1.57,,,,,,,,
r_hand_yaw,-3.38870732800589E-05,-0.00597575931400085,0.0437739423349347,0,0,0,0.16829576540844,8.41153559379105E-05,-1.58435297586044E-08,1.34228003156711E-08,0.000105118258005196,-9.65908626303867E-06,9.72825471764427E-05,0,0,0,0,0,0,package://biped_s43/meshes/r_hand_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://biped_s43/meshes/r_hand_yaw.STL,,r_hand_yaw-2,r_hand_yaw_pitch,r_hand_yaw_axis,r_hand_yaw,revolute,0,0,-0.18915,0,0,0,r_forearm_pitch,0,0,-1,0,0,-1.57,1.57,,,,,,,,
r_hand_pitch,0.000855318718506226,-0.00213006893556911,-0.115813480423586,0,0,0,0.344320648555052,0.000540956301757255,-5.77543528501418E-06,1.41402761249693E-05,0.00040279105474128,2.16236964612705E-05,0.000201906090748558,0,0,0,0,0,0,package://biped_s43/meshes/r_hand_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://biped_s43/meshes/r_hand_pitch.STL,,r_hand_pitch-1,r_hand_yaw_pitch,r_hand_pitch_axis,r_hand_pitch,revolute,0,0,0,0,0,0,r_hand_yaw,0,1,0,0,0,-1.396,1.57,,,,,,,,
l_arm_pitch,0.0142197403011897,-0.0158198143370389,0.000151810457338808,0,0,0,0.174746585328354,0.000265909520516632,-2.59598861144916E-05,-2.33624156891425E-07,0.000126272897577581,-1.7113334894126E-06,0.000192916286448649,0,0,0,0,0,0,package://biped_s43/meshes/l_arm_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://biped_s43/meshes/l_arm_pitch.STL,,l_arm_pitch-2,l_arm_pitch_roll_yaw,l_arm_pitch_axis,l_arm_pitch,revolute,-0.0175,0.2547,0.3245,0,0,0,torso,0,-1,0,0,0,-1.047,2.094,,,,,,,,
l_arm_roll,0.0328722823548324,-6.02081934308885E-09,-0.0333619980808738,0,0,0,0.0275279041732812,2.18198673960488E-05,1.00434805014114E-11,-6.54641165117822E-06,2.59041339554032E-05,-7.19292827340807E-12,1.33665916401548E-05,0,0,0,0,0,0,package://biped_s43/meshes/l_arm_roll.STL,1,1,1,1,0,0,0,0,0,0,package://biped_s43/meshes/l_arm_roll.STL,,l_arm_roll-1,l_arm_pitch_roll_yaw,l_arm_roll_axis,l_arm_roll,revolute,0,0,0,0,0,0,l_arm_pitch,1,0,0,0,0,-0.349,2.094,,,,,,,,
l_arm_yaw,0.00435419486285331,0.00655494667807083,-0.150653532957614,0,0,0,0.173566136470917,0.000103216153462413,1.58656474482053E-08,-6.17334881980063E-08,0.000126811314024844,1.35227132392023E-05,0.000101741105051944,0,0,0,0,0,0,package://biped_s43/meshes/l_arm_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://biped_s43/meshes/l_arm_yaw.STL,,l_arm_yaw-2,l_arm_pitch_roll_yaw,l_arm_yaw_axis,l_arm_yaw,revolute,0,0,0,0,0,0,l_arm_roll,0,0,-1,0,0,-1.57,1.57,,,,,,,,
l_forearm_pitch,2.65670778256885E-07,0.0239113540496901,-0.0401580149041652,0,0,0,0.0888093839871042,8.27863365794365E-05,3.72014251093926E-11,3.06532124209034E-10,6.87816670177368E-05,-2.71271593158762E-05,6.07405521072005E-05,0,0,0,0,0,0,package://biped_s43/meshes/l_forearm_pitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://biped_s43/meshes/l_forearm_pitch.STL,,l_forearm_pitch-1,l_forearm_pitch,l_forearm_pitch_axis,l_forearm_pitch,revolute,0.0045067,0,-0.2046,0,0,0,l_arm_yaw,0,-1,0,0,0,-1.57,1.57,,,,,,,,
l_hand_yaw,3.38916270049032E-05,0.00597576048894533,0.0437739462882778,0,0,0,0.168295683426251,8.41153550451959E-05,-1.58432039717765E-08,-1.34226918791873E-08,0.000105118257522952,9.65908636117429E-06,9.72825458729691E-05,0,0,0,0,0,0,package://biped_s43/meshes/l_hand_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://biped_s43/meshes/l_hand_yaw.STL,,l_hand_yaw-2,l_hand_yaw_pitch,l_hand_yaw_axis,l_hand_yaw,revolute,0,0,-0.18915,0,0,0,l_forearm_pitch,0,0,-1,0,0,-1.57,1.57,,,,,,,,
l_hand_pitch,0.000855309079931199,0.00213008600528963,-0.115813513460167,0,0,0,0.344320323618474,0.000540955625710294,5.77541434372588E-06,1.4140308478252E-05,0.00040279053534777,-2.16239970470609E-05,0.000201905906214185,0,0,0,0,0,0,package://biped_s43/meshes/l_hand_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://biped_s43/meshes/l_hand_pitch.STL,,l_hand_pitch-1,l_hand_yaw_pitch,l_hand_pitch_axis,l_hand_pitch,revolute,0,0,0,0,0,0,l_hand_yaw,0,1,0,0,0,-1.396,1.57,,,,,,,,
